GOA
Diu
Una
Leh
Mon
Mau
Cxc
Hyd
Owk
Vja
Glt
Svs
Bkt
Ttb
Gmc
Goh
Deo
Ben
Bah
Roh
Vav
Nuh
Amb
Uri
Len
Gua
Ron
Bid
Jat
Pen
Mul
Wai
Man
Nil
Ucc
Gop
Aul
Bdh
Bkh
Bti
Aau
Bap
Vlr
Mzn
Csa
Cod
Pem
Mrg
Rbl
Mal
Gaya
Durg
Tapi
Jind
Doda
Mahe
Rewa
Guna
Dhar
Beed
Pune
Phek
Puri
Moga
Kota
Tonk
Pali
Agra
Etah
Bela
Iral
Tada
Wyra
Wgdt
Tuni
Gara
Jami
Raha
Glgt
Glt
Svs
Dalu
Duni
Boko
Rani
Bala
Bali
Tihu
Jale
Pusa
Ekma
Riga
Siwn
Amas
Amba
Obra
Piru
Piro
Atri
Kako
Sono
Bind
Barh
Koni
Saja
Bsna
Disa
Kadi
Sami
Idar
Bhuj
Muli
Ahwa
Dang
Amod
Beri
Jhal
Khol
Kund
Pota
Siha
Tint
Holi
Anni
Pooh
Suni
Arki
Bani
L:eh
Gund
Tral
Chas
Jmua
Gola
Sdar
Jori
Toto
Itki
Bano
Ratu
Kuru
Bero
Nala
Jama
Amda
Sini
Indi
Supa
Alur
Sira
Adur
Amla
Amal
Gurh
Bina
Gird
Ater
Raun
Mhow
Alot
Boda
Agar
Kaij
Loha
Peth
Ausa
Ajra
Khed
Jath
Uran
Roha
Tala
Wada
Wade
Vada
Akot
Kuhi
Arvi
Arni
Wani
Bhor
Mhol
Nil;
Artc
Tuli
Ampi
Mebo
Bame
Bene
Ziro
Tezu
Miao
Dali
Giba
Tang
Jang
Lish
Maro
Medo
Muri
Rupa
Soha
Tali
Tato
Juri
Manu
Rowa
Smit
Tura
Aska
Adva
Jonk
Motu
Soro
Bant
Kuta
Kang
Beas
Phul
Boha
Maur
Zira
Amet
Bhim
Weir
Deeg
Bari
Amer
Shiv
Asop
Luni
Tena
Jael
Vlrq
Velr
Atur
Orai
Moth
Mant
Meja
Bara
Suar
Itwa
Hata
Itra
Jamu
Juhi
Sarh
Rura
Unna
Loni
Salt
Ghat
Amta
Bagu
Bena
Bira
Duma
Guma
Pifa
Alal
Paro
Hili
Onda
Asda
Boga
Egra
Juki
Khar
Remu
Adra
Hura
Para
ASSAM
BIHAR
DELHI
Medak
Saran
Siwan
Arwal
Banka
Buxar
Patna
Jamui
Korba
Patan
Anand
Kheda
Surat
Dahod
Daman
Hisar
Sirsa
Mandi
Kullu
Solan
Jammu
Reasi
Gumla
Godda
Dumka
Pakur
Bidar
Gadag
Kolar
Udupi
Seoni
Panna
Betul
Harda
Satna
Damoh
Sagar
Sidhi
Datia
Bhind
Dewas
Katni
Jalna
Dhule
Latur
Thane
Akola
Saiha
Wokha
Peren
Lohit
Tirap
Boudh
Angul
Ropar
Mansa
Ajmer
Baran
Bundi
Alwar
Dausa
Churu
Sikar
Jalor
Salem
Erode
Karur
Theni
Kheri
Basti
Gonda
Banda
Unnao
Nadia
Malda
Boath
Tamsi
Mulug
Alair
Varni
Armur
Kodad
Palem
Gudur
Uppal
Gooty
Irala
Atlur
Kodur
Agali
Rolla
Adoni
Dhone
Piler
Pulla
Eluru
Virur
Rapur
Garla
Movva
Durgi
Ipuru
Revur
Allur
Kovur
Emani
Intur
Araku
Salur
Gurla
Rajam
Burja
Moida
Dikom
Laluk
Jonai
Hojai
Diphu
Donka
Lanka
Dhing
Nagon
Halem
Dhula
Rowta
Orang
Lokra
Dotma
Bijni
Rupsi
Matia
Ahopa
Allia
Jagra
Dirua
Gerua
Howly
Kalag
Karia
Kauli
Narua
Mansi
Balia
Pupri
Dhaka
Kotwa
Mehsi
Sakra
Katra
Aurai
Kanti
Paroo
Baisi
Kahra
Sbraj
Pipra
Banma
Parsa
Nagra
Maker
Dumra
Andar
Konch
Kaler
Gurua
